body,size
10000,39532181744
10001,33442837987
10002,29336983880
10006,17256755675
100043,16553123199
10005,16133985826
10008,14564894824
10010,13015357067
10011,12747329215
10012,12602325044
100125,12569719774
10013,12427601137
10014,11955116387
10015,11254590193
10016,11148692571
10017,11058347441
10018,10599710745
10021,9896016608
10023,9789908981
10026,9500112240
10027,9449405920
10028,9431438672
10029,9427642985
10030,9385541016
10032,9375266360
10033,9370286448
10034,9356417768
10035,9349347720
10036,9307190816
10037,9290207200
10038,9273472272
10040,9237657392
10041,9217457784
10043,9210317416
10044,9190888072
10045,9186977880
10046,9109705464
10047,8952949515
10031,8871083343
10050,8860373997
10053,8619717339
10052,8619371064
10056,8545035880
10054,8522460405
10055,8510043541
10058,8421833903
10022,8353860652
10042,8335725516
10061,8250509920
10063,7997371048
10064,7958515566
10065,7880992836
10067,7871250041
10068,7713044920
10070,7649180659
10059,7627577408
10073,7538803223
10074,7420310844
10076,7383962398
10078,7305628448
10079,7303019160
10080,7283469088
100278,7282519095
10081,7281270640
10069,7200558268
10082,7178657064
10083,7172587040
10025,7094410668
10086,7088654984
10087,7081049302
10089,7049839310
10088,7045324804
10091,7045232536
10093,7006999033
10094,6997235145
10098,6936031888
10095,6919803664
10084,6884043273
10099,6842662480
10104,6834585037
10075,6817076703
10101,6816709821
10102,6803248783
10109,6799728277
10103,6787547912
10105,6776389860
10107,6774685563
10114,6735245091
10110,6730011749
10111,6720779921
10112,6718852385
10077,6709763730
10113,6691460617
10106,6682872164
10115,6650824263
10117,6613142898
10119,6587243550
10124,6575849719
10121,6544508975
10122,6543510724
10123,6540433051
10125,6484638528
10126,6459360004
10085,6414772556
10129,6309610108
10130,6249368298
10090,6226261585
10131,6220879812
10118,6217172228
10132,6187570869
10097,6160057358
10135,6137801679
10136,6130763344
10134,6123886243
10137,6121867632
10139,6119297575
100407,6114419943
10141,6036146243
10142,6031760280
10145,6005813641
10140,6001428116
10143,5997440634
10149,5924891589
10150,5914447451
10146,5902822081
10133,5890731128
10152,5885842976
10148,5873565635
10154,5857299550
10147,5850047854
10128,5839982309
10156,5811396033
10159,5802642382
10153,5792435605
10157,5776706085
10138,5772763284
10160,5755763442
10161,5740852729
10162,5737978684
10164,5730508302
10165,5722788531
10166,5706075430
10169,5705929702
10096,5700002004
10170,5678907617
10171,5669698574
10172,5667739472
10175,5666691905
10151,5653100555
10176,5650936107
10116,5634911017
10178,5631351965
10179,5628342524
10180,5625722663
