body,boxed_size,full_size
4657581493,55913710,35802627118
33109803321,31127559,3662209814
841369749759,28059876,4860233910
36810502243,26792365,1343571036
841369751531,24141787,5117838924
36771638457,23240255,1644782825
36307785064,21680786,5291058924
841369735765,20027391,3464259643
32196412536,17497356,4402412265
35558181629,17119763,3626863813
34739947940,16750029,2876394261
35561721335,16193275,2738848377
36771317205,14592589,2282196302
19929218482,13155326,3371041647
35568520993,12601038,2110753932
841369734702,12365667,1427799072
37617350004,12336028,4153353277
841369734097,10742823,1428075661
24351057375,10611451,1520189905
32624729427,10509385,1545712537
841369735626,10445121,3799139946
33460295347,10373342,4888018051
33498944583,9974135,4495762239
36757453123,9436391,604664134
35139808098,9279004,1536478292
16250177421,8931187,1102579767
11650736763,8642073,1662843205
24871151267,8352843,4553983431
36782377314,8173032,2037847056
37157144809,8121737,930145009
42527053058,8024742,13755995
35069210990,7803737,937827676
13246049212,7662735,7139828015
841369747938,7607874,4440999808
841369739561,7589478,379639802
35949593192,7172212,1734161577
841369732560,6727375,48867419
14085150111,6685994,2968537645
841369736397,6604630,3014127825
841369750368,6508634,2631484173
38834096176,6486334,4228633701
38002858088,6469166,1893006227
35982525945,6304200,2124444363
36396577363,6044677,1648495615
841369730641,6039551,371950401
36368274698,6028432,3767740147
841369734073,5811405,4142922655
35961540533,5780400,1600880398
34330254884,5626674,1267893763
841369745503,5610535,1297378233
36332389677,5376324,5133953197
35993149302,5131602,4464621877
841369734532,5128526,2836872705
841369731740,5039312,73869974
36396225230,5032677,2392832556
23205007511,4874443,4261057604
841369737433,4839943,203890307
34729411587,4741328,398131353
841369736003,4729512,4429653651
36785549820,4628490,953547965
41702686978,4583518,256123636
841369750366,4548876,240739615
841369733365,4481416,1523177737
42912803958,4473531,1024397357
25621110277,4394646,3186823885
841369743280,4388671,1019965330
841369733684,4301163,1581679807
38809492493,4285021,1343426728
8354102549,4228372,9521670318
6280510907,4098170,2841888255
23205244969,4070958,3883899572
39640891157,4042205,2594432094
35497062215,3935698,1443306990
18594463038,3876538,11898512734
36768137224,3815790,3957631395
841369733846,3780513,1448058611
33502045435,3779918,449584712
841369739941,3745044,460146084
22830192201,3728876,5339479756
26034968146,3596714,1786382928
841369744786,3455443,1763887989
841369738397,3295120,2351355985
5021735240,3250773,5273538749
42116538791,3225912,348519533
18294749362,3151458,5654789941
841369737428,3108418,2212254463
37207067655,3093667,411623439
37998845358,3074195,447003353
841369735071,3044982,4646946250
38020345618,2929106,1224569791
841369731374,2878515,1542709135
35561643159,2853736,1291337443
36786095198,2794650,348033122
12008657676,2643284,5002126973
43347799643,2626669,3513050
9992139987,2583236,1902772729
37599066056,2564623,738033722
35957888138,2527035,2442598371
841369733848,2489288,339085088
1363529682,2482871,2932057164
36368204067,2463719,1129306440
43344189015,2390434,6775658
33908701347,2388840,533264458
841369731268,2312384,785804518
35982454352,2312229,799798192
35975734608,2250893,537888050
35558529904,2244484,494960643
5071458974,2230097,4744731026
38466040462,2202159,1092822940
33084924139,2161010,902232272
36803240976,2127788,597007963
35550956644,2122411,3770448892
841369741150,2107373,336590028
32256515492,2035206,1010053046
841369730684,1942799,260923073
841369730027,1912766,2435988976
841369741137,1900939,148191956
33456688576,1844521,1218734490
25667097549,1815644,3214834022
37592697798,1783429,508690381
14915491101,1776397,2824454268
40885673765,1637843,50956870
36375663177,1635876,943077608
841369731342,1619010,2173323287
841369731181,1606790,535771717
38820104077,1598287,2157279938
35550914075,1588948,1900846214
6305320414,1578900,5240950825
841369744787,1562662,829648111
40417620602,1562198,208631949
26925634665,1545575,1217306853
19034129988,1536432,1061551040
34725792265,1523375,1259350283
841369729892,1483456,4727586610
841369747147,1450553,441141414
35929582348,1448866,456937015
841369737224,1388287,438422518
841369734543,1381623,243420947
841369746418,1317689,562622018
26045497744,1303329,1924973169
24004450991,1303028,996102555
36368241607,1282844,2158703147
43761693495,1273063,1325293
36361282679,1252192,4974798350
14915490576,1251646,2628193632
15836319672,1250345,19690239656
42944560490,1230460,8020397
42884584942,1211681,50451814
6709377366,1177130,5717919243
15712699577,1121186,949252125
841369750195,1108416,1076816250
36364664354,1101404,2051628591
38830134713,1093732,435796686
42534165928,1093715,11736798
35144600845,1052832,624847854
36782252649,1032375,424223790
17735423766,1029739,970661845
841369741070,991310,1191752926
44164973918,973912,1016869
36789321639,967782,3513414600
44168474054,963815,1637235
37981678893,955368,1098085709
43761653885,953172,953172
841369750372,939441,32650061
841369734981,932498,340015149
42116772962,924498,618520729
35137448549,913714,1989681794
15694816135,895300,1079317303
841369744825,886999,385012212
841369737580,880399,887329613
43758198416,875674,3694410
841369737432,867376,334172862
841369732782,867243,343392920
841369750419,856853,794301380
43344263380,844791,962181
841369745357,835950,237287352
8789372918,828941,1328391277
35929421282,818357,1106980352
44168511807,795023,795023
841369736342,790036,507261189
841369734705,766427,1290734688
44168508907,760372,980824
44168469258,751229,751229
33501847687,746696,527485572
44172007850,737923,737923
43351338631,733866,783534
38398822720,733587,477090416
36389816237,727560,455175185
841369747107,713356,405375027
43337071989,713322,23226714
44168507029,697014,697014
43347841336,686962,3960929
841369740104,672329,2492819146
841369745255,663077,464044192
35972074265,656987,612710574
43347802791,644972,734850
44164968787,633870,672513
44168473924,629166,2077625
34720136115,616137,4147359084
39226920501,604444,1419908018
44164971187,589871,7153095
36371622829,568679,1356662687
42930335315,560631,30499273
42095590750,559176,132483442
9553452125,557857,7010768222
841369743001,554920,1311717451
39229991727,551552,100701622
44168510199,550954,550954
7048556631,548027,10589734789
19892806365,538002,6578045958
35993185919,531503,1536069579
43761655664,521275,532014
44168507098,512413,512413
44164930568,509398,557943
30184415518,501362,1285470475
44168469218,481694,481694
35544265528,481381,663253753
43347803129,478246,478844
841369733687,478231,547299099
43761691146,472475,1023483
841369734974,463283,1085222822
841369734913,451677,313014004
44168470012,450624,450624
43758116346,439766,439766
44168430199,438035,502853
43347761530,406515,1167818
23215232293,402750,4416676677
44168468925,398946,398946
44172048909,395112,451073
33050066918,389607,1095289373
841369733615,388555,2125670212
43754614449,385443,476666
35975613150,382584,2962914049
841369743512,375107,270777475
43351299347,372222,445967
9118291809,367664,6838432130
35565068589,366043,3569897993
41310139213,361369,15002741
7140962553,360033,2571041113
43758154466,350501,350501
35572177764,348831,552861870
42937364082,348319,1052267
36792858819,347816,803365928
43758155911,345847,345847
38819597132,336494,362565171
43761693743,335384,335384
44168467309,331210,331210
