new_body,orig_body,size
10000,30573515090,42585373410
10001,841369745228,33410062049
10002,841369733104,29335518223
10003,841369732998,19530983691
10004,841369733054,19305136382
10005,841369744171,18037305900
10006,38986953199,17256755675
10007,841369733078,16495510695
10008,54580429519,14564894824
10009,841369733127,14431647288
10010,6645390462,13011967697
10011,841369747764,12740516886
10012,4657534001,12602261622
10013,25617181340,12424226122
10014,9974098558,11943274129
10015,841369732932,11580803486
10016,4183305007,11146160380
10017,841369749674,11058106933
10018,7048556631,10589734789
10019,841369733083,10289516908
10020,841369733166,10002301395
10021,8724884452,9895878425
10022,10784705493,9841713242
10023,11601960643,9788495200
10024,841369733193,9629452195
10025,8354102549,9521670318
10026,33652342879,9500112240
10027,59915039839,9449405920
10028,52528656319,9431438672
10029,841369751434,9409071247
10030,18058866559,9385541016
10031,5492432096,9376093929
10032,10262128399,9375266360
10033,25855604719,9370286448
10034,22983122239,9356417768
10035,7389645919,9349347720
10036,15186384079,9307190816
10037,57452911999,9290207200
10038,49656173839,9273472272
10039,841369729880,9242937424
10040,2055035599,9237657392
10041,43911208879,9217457784
10042,17378252635,9216945436
10043,36114470719,9210317416
10044,20931349039,9190888072
10045,28728087199,9186977880
10046,62787522319,9109705464
10047,13334167445,8952949515
10048,841369733073,8948887191
10049,841369733356,8861939500
10050,30597133189,8860373997
10051,841369733227,8680820726
10052,6705061558,8616528866
10053,5049531501,8594885932
10054,15276839167,8522455714
10055,23151042695,8510043541
10056,15294362841,8508273198
10057,841369744038,8476405207
10058,10762705346,8417797131
10059,11675656937,8283296009
10060,36345760978,8266545219
10061,14480651125,8260413018
10062,19932710732,8181463006
10063,841369747814,7987654915
10064,16964239422,7953638514
10065,11675618196,7938781476
10066,2187855636,7915694036
10067,25574533048,7868239396
10068,841369733568,7712426686
10069,18587891965,7667420763
10070,9160153775,7643208681
10071,841369745502,7639185754
10072,841369734116,7611554081
10073,21453465212,7537686112
10074,841369750181,7419510993
10075,8297621008,7417606112
10076,841369746925,7382636106
10077,13295218033,7381895105
10078,4927518079,7305628448
10079,46783691359,7303019160
10080,12313901599,7283469088
10081,31190215039,7281270640
10082,7140135824,7210356940
10083,5902513414,7162524148
10084,13246049212,7139828015
10085,17367712643,7091422525
10086,5396364140,7083783317
10087,841369749488,7068585869
10088,10402067786,7044605433
10089,11569844155,7044199336
10090,4247181980,7043512754
10091,11990184305,7043055719
10092,841369735960,7036620693
10093,5894968562,7025673483
10094,54989112,7025235499
10095,9553452125,7010768222
10096,21549489015,7003808769
10097,8339130818,6951661248
10098,19433088195,6934069231
10099,9118291809,6838432130
10100,841369733374,6823841742
10101,14502541916,6810965450
10102,9610284455,6803142426
10103,9553453298,6787547912
10104,3019095071,6787450942
